1Amide,1Amine,2Amide,2Amine,3Amide,3Amine,Abraham AH,Abraham BH,Abraham L16,Abraham Pi,Abraham R2,Abraham Vx,Acid,Alcohol,Alkene,Amide,Amine,Anhydride,Anilines,Aromatic,Auto-Ignition,Avoidance,BP,CAS,Marker,Solvent Count,One (Hide),PP_X-Axis_CompField,PP_Y-Axis_CompField,FG_X-Axis_CompField,FG_Y-Axis_CompField,Hints and Tips,PCA2D_X-Axis_CompField,Hints,Carbonate,Chloro,Conformers TZVP-Fine,Conformers TZVP,DBIDRef TZVP-Fine,DBIDRef TZVP,Density,Dielectric,Dipole,ETN,Environmental Link,Environmental,Ester,Ether,Extension TZVP-Fine,Extension TZVP,ICH_X-Axis_CompField,VAP_X-Axis_CompField,Filename TZVP,Flammability Score,Flammability,Flash Point,Fluoro,Formula,General,Gutmann,Halogen,Hansen Disp,Hansen H-Bond,Hansen Polar,Health,Heat Capacity,Heteroaromatic Amines,Hildebrand,Hvap,Hydrocarbon,ICH Class,ICH Limit,ICH_Y-Axis_CompField,ID,Impact in Air,Impact in Water,In Ch I Key,In Ch I,Ketone/Aldehyde,LCA,MP,Miscibility,Mol. Wt.,Name,Nitrile,Nitro,Nitrogen Bases,Number of Records,Octant,Other,PC1,PC2,PC3,PC4,PC5,PCA2D_Y-Axis_CompField,PCA2D_mColor_CompField,Phosphorus Containing,Quadrant,Reactivity Literature,Reactivity,Refractive Index,Smiles,Silicone,Solubility of Water,Solvatochromic Alpha,Solvatochromic Beta,Solvatochromic Pi*,Static,Sulfide,Sulfite,Sulfone,Sulfoxide,Sulfur Containing,T-Rating,Urea,HEAT_X-Axis_CompField,VOC Potential,Vapour Pressure,Viscosity Score,Viscosity,log Pow
N,N,N,N,N,N,,,,,,1.285,N,N,N,N,N,N,N,N,,N,153,107-51-7,,Solvent Count,1,11.0181,2.66874,11.0181,2.66874,Hints and Tips,11.0181,Hints and Tips,N,N,2,2,5,2,0.82,,,,,,N,N,cosmo,cosmo,11.0181,238,Octamethyltrisiloxane,3,Class IC,29,N,C8H24O2Si3,,,N,,,,,,N,,140,N,,,2.66874,238,,,CXQXSVUQTKDNFP-UHFFFAOYSA-N,"InChI=1S/C8H24O2Si3/c1-11(2,3)9-13(7,8)10-12(4,5)6/h1-8H3",N,,-82,N,236.531,Octamethyltrisiloxane [MDM],N,N,N,1,8,N,11.0181,2.66874,4.05506,-0.947221,0.305732,2.66874,153,N,4,,,1.384,C[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C,Y,,,,,,N,N,N,N,N,Not Assigned,N,238,,,,,
N,N,N,N,N,N,,,,,,0.968,N,N,N,N,N,N,N,N,,N,100.5,107-46-0,,Solvent Count,1,8.22926,-0.0692801,8.22926,-0.0692801,Hints and Tips,8.22926,Hints and Tips,N,N,2,2,5,2,0.76,,0.66,,,,N,N,cosmo,cosmo,8.22926,237,Hexamethyldisiloxane,3,Class IB,-2,N,C6H18OSi2,,,N,,,,,2507,N,6.2,283,N,,,-0.0692801,237,,,UQEAIHBTYFGYIE-UHFFFAOYSA-N,"InChI=1S/C6H18OSi2/c1-8(2,3)7-9(4,5)6/h1-6H3",N,,-68,N,162.378,Hexamethyldisiloxane [M2],N,N,N,1,6,N,8.22926,-0.0692801,1.69204,-1.48188,-0.018951,-0.0692801,100.5,N,2,,,1.377,C[Si](O[Si](C)(C)C)(C)C,Y,,,,,,N,N,N,N,N,Not Assigned,N,237,2,33.8,,,4.2
N,N,N,N,N,N,0.82,0.35,0.26,0.45,0,0.167,N,N,N,N,N,N,N,N,,N,100,7732-18-5,,Solvent Count,1,-17.1145,-8.80606,-17.1145,-8.80606,Hints and Tips,-17.1145,Hints and Tips,N,N,1,1,4,1,1,78.3,1.77,1,,,N,N,cosmo,cosmo,-17.1145,116,h2o,Not Assigned,Not Assigned,,N,H2O,,18,N,7.6,20.7,7.8,,4190,N,23.5,2180,N,,,-8.80606,116,,,XLYOFNOQVPJJNP-UHFFFAOYSA-N,InChI=1S/H2O/h1H2,N,,0,Y,18.015,Water,N,N,N,1,5,Y,-17.1145,-8.80606,5.56077,0.126051,0.604298,-8.80606,100,N,1,,,1.333,O,N,1070.64,1.17,0.18,1.09,,N,N,N,N,N,Not Assigned,N,116,1,18.6,1,1.003,
N,N,N,N,N,N,,,,,,1.716,N,N,N,N,N,N,N,N,,N,250,2832-49-7,,Solvent Count,1,5.32758,4.98738,5.32758,4.98738,Hints and Tips,5.32758,Hints and Tips,N,N,1,1,5,2,1.037,,,,,,N,N,cosmo,cosmo,5.32758,152,Tetraethylsulfamide,1,Class IIIB,113,N,C8H20N2O2S,,,N,,,,,,N,,,N,,,4.98738,152,,,IYIAWAACGTUPCC-UHFFFAOYSA-N,"InChI=1S/C8H20N2O2S/c1-5-9(6-2)13(11,12)10(7-3)8-4/h5-8H2,1-4H3",N,,,Not Determined,208.322,Tetraethylsulfamide [TES],N,N,N,1,8,Y,5.32758,4.98738,1.36201,0.803137,0.624822,4.98738,250,N,4,,,1.448,CCN(S(=O)(=O)N(CC)CC)CC,N,,,,,,N,N,N,N,Y,Not Assigned,N,152,,,,,
N,N,N,N,N,N,,,,,,1.276,N,N,N,N,N,N,N,N,,N,76,2511-17-3,,Solvent Count,1,-3.36411,7.79931,-3.36411,7.79931,Hints and Tips,-3.36411,Hints and Tips,N,N,2,2,5,2,1.024,,,,,,N,N,cosmo,cosmo,-3.36411,153,Pentamethyl_phosphonic_diamide,Not Assigned,Not Assigned,,N,C5H15N2OP,,,N,,,,,,N,,,N,,,7.79931,153,,,YRWJRJCUZYGLPN-UHFFFAOYSA-N,"InChI=1S/C5H15N2OP/c1-6(2)9(5,8)7(3)4/h1-5H3",N,,,Not Determined,150.159,Pentamethyl Phosphonic Diamide,N,N,N,1,3,Y,-3.36411,7.79931,-1.93648,-0.679509,-1.17989,7.79931,76,Y,3,,,1.459,CN(P(=O)(N(C)C)C)C,N,,,,,,N,N,N,N,N,Not Assigned,N,153,,,,,
N,N,N,N,N,N,,,,,,1.316,N,N,N,N,N,N,N,N,260,N,261,6674-22-2,,Solvent Count,1,-1.04243,8.08654,-1.04243,8.08654,Hints and Tips,-1.04243,Hints and Tips,N,N,2,2,5,2,1.018,,,,,,N,N,cosmo,cosmo,-1.04243,158,DBU,1,Class IIIB,116,N,C9H16N2,,,N,,,,,,N,,,N,,,8.08654,158,,,GQHTUMJGOHRCHB-UHFFFAOYSA-N,InChI=1S/C9H16N2/c1-2-5-9-10-6-4-8-11(9)7-3-1/h1-8H2,N,,-70,N,152.237,"1,8-Diazabicycloundec-7-ene [DBU]",N,N,Y,1,3,N,-1.04243,8.08654,-1.61077,0.424958,-3.57208,8.08654,261,N,3,,,1.523,C1CCN2C(=NCCC2)CC1,N,,,,,,N,N,N,N,N,T3,N,158,,,,,
N,N,N,N,N,N,0.02,0.33,2.41,0.95,0.27,0.565,N,N,N,N,N,N,N,N,360,N,114,79-24-3,,Solvent Count,1,-2.14468,-3.62892,-2.14468,-3.62892,Hints and Tips,-2.14468,Hints and Tips,N,N,2,2,4,1,1.045,29,3.61,0.4,,,N,N,cosmo,cosmo,-2.14468,223,nitroethane,3,Class IC,28,N,C2H5NO2,,5,N,7.8,2.2,7.6,,1705,N,11,485,N,,,-3.62892,223,,,MCSAJNNLRCFZED-UHFFFAOYSA-N,"InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3",N,,-89.5,N,75.067,Nitroethane,N,Y,N,1,1,N,-2.14468,-3.62892,-2.68811,1.23438,3.63157,-3.62892,114,N,1,,,1.391,[O-][N+](=O)CC,N,,,,,,N,N,N,N,N,T2,N,223,1,15.7,0,0.68,0.18
N,N,N,N,N,N,0,0.31,2.89,0.95,0.24,0.706,N,N,N,N,N,N,N,N,421,N,131.2,108-03-2,,Solvent Count,1,-0.638764,-2.65281,-0.638764,-2.65281,Hints and Tips,-0.638764,Hints and Tips,N,N,2,2,4,1,1,,3.66,,,,N,N,cosmo,cosmo,-0.638764,206,1-nitropropane,3,Class IC,36,N,C3H7NO2,,,N,,,,,1871,N,10.4,351,N,,,-2.65281,206,,,JSZOAYXJRCEYSX-UHFFFAOYSA-N,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",N,,-104,N,89.093,1-Nitropropane,N,Y,N,1,1,N,-0.638764,-2.65281,-1.96557,0.844981,3.29501,-2.65281,131.2,N,1,,,1.4,[O-][N+](=O)CCC,N,,,,,,N,N,N,N,N,T2,N,206,1,7.3,0,0.842,0.87
N,N,N,N,N,N,,,,,,0.706,N,N,N,N,N,N,N,N,421,N,131.2,79-46-9,,Solvent Count,1,-0.608593,-2.86582,-0.608593,-2.86582,Hints and Tips,-0.608593,Hints and Tips,N,N,1,1,4,1,0.983,27.3,3.76,,,,N,N,cosmo,cosmo,-0.608593,220,2-nitropropane,3,Class IC,24,N,C3H7NO2,,,N,,,,,1867,N,10.4,322,N,,,-2.86582,220,,,FGLBSLMDCBOPQK-UHFFFAOYSA-N,"InChI=1S/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3",N,,-103.4,N,89.093,2-Nitropropane,N,Y,N,1,1,N,-0.608593,-2.86582,-1.99477,0.463773,2.89232,-2.86582,131.2,N,1,,,1.394,CC([N+](=O)[O-])C,N,,,,,,N,N,N,N,N,T2,N,220,1,13,0,0.804,0.87
N,N,N,N,N,N,0.06,0.31,1.89,0.95,0.31,0.424,N,N,N,N,N,N,N,N,379,N,101.2,75-52-5,2,Solvent Count,1,-3.83989,-4.70756,-3.83989,-4.70756,Hints and Tips,-3.83989,Hints and Tips,N,N,1,1,4,1,1.131,36.2,3.5,0.481,,,N,N,cosmo,cosmo,-3.83989,85,nitromethane,3,Class IC,35,N,CH3NO2,,2.7,N,7.7,2.5,9.2,,1538,N,12.9,418,N,2,50,-4.70756,85,,,LYGJENNIWJXYER-UHFFFAOYSA-N,InChI=1S/CH3NO2/c1-2(3)4/h1H3,N,,-28.6,Y,61.04,Nitromethane,N,Y,N,1,1,N,-3.83989,-4.70756,-2.58611,1.87302,4.25859,-4.70756,101.2,N,1,,Low pKa,1.382,CN(=O)=O,N,104.86,0.22,,0.85,,N,N,N,N,N,T2,N,85,2,27.4,0,0.652,-0.33
N,N,N,N,N,N,,,,,,0.982,N,N,N,N,N,N,N,N,550,N,295,111-69-3,,Solvent Count,1,-1.80193,2.02169,-1.80193,2.02169,Hints and Tips,-1.80193,Hints and Tips,N,N,3,3,4,1,0.95,,3.75,,,,N,N,cosmo,cosmo,-1.80193,195,hexanedinitrile,1,Class IIIA,93,N,C6H8N2,,,N,,,,,3252,N,12,504,N,,,2.02169,195,,,BTGRAWJCKBQKAO-UHFFFAOYSA-N,InChI=1S/C6H8N2/c7-5-3-1-2-4-6-8/h1-4H2,N,,2.4,N,108.141,Hexanedinitrile,Y,N,N,1,7,N,-1.80193,2.02169,0.527922,2.07302,4.6739,2.02169,295,N,3,,,1.44,N#CCCCCC#N,N,,,,,,N,N,N,N,N,T1,N,195,1,0,1,7.034,-0.32
N,N,N,N,N,N,,,,,,0.968,N,N,N,N,N,N,N,N,,N,163.6,628-73-9,,Solvent Count,1,0.64183,-0.827949,0.64183,-0.827949,Hints and Tips,0.64183,Hints and Tips,N,N,1,1,4,1,0.801,17.3,3.48,,,,N,N,cosmo,cosmo,0.64183,178,hexanenitrile,2,Class II,47,N,C6H11N,,,N,,,,,2763,N,9.5,476,N,,,-0.827949,178,,,AILKHAQXUAOOFU-UHFFFAOYSA-N,"InChI=1S/C6H11N/c1-2-3-4-5-6-7/h2-5H2,1H3",N,,-80.3,N,97.158,Hexanenitrile,Y,N,N,1,0,N,0.64183,-0.827949,-0.863312,-0.339888,3.10634,-0.827949,163.6,N,0,,,1.407,CCCCCC#N,N,,,,,,N,N,N,N,N,Not Assigned,N,178,1,2.1,0,0.974,1.66
N,N,N,N,N,N,,,,,,0.686,N,N,N,N,N,N,N,N,502,N,117.5,109-74-0,,Solvent Count,1,-1.60149,-2.07822,-1.60149,-2.07822,Hints and Tips,-1.60149,Hints and Tips,N,N,1,1,4,1,0.787,24.6,4.07,0.364,,,N,N,cosmo,cosmo,-1.60149,42,butyronitrile,3,Class IC,36,N,C4H7N,,16.6,N,7.5,2.5,6.1,,8526,N,10.2,608,N,,,-2.07822,42,,,KVNRLNFWIYMESJ-UHFFFAOYSA-N,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3",N,,-111.9,N,69.105,Butyronitrile,Y,N,N,1,1,N,-1.60149,-2.07822,-1.82494,-0.863574,3.80822,-2.07822,117.5,N,1,,,1.383,CCCC#N,N,,,,0.71,,N,N,N,N,N,T1,N,42,1,15.1,0,0.589,0.6
N,N,N,N,N,N,0.07,0.32,1.74,0.9,0.24,0.404,N,N,N,N,N,N,N,N,524,N,81.6,75-05-8,2,Solvent Count,1,-4.65106,-4.74864,-4.65106,-4.74864,Hints and Tips,-4.65106,Hints and Tips,N,N,1,1,4,1,0.776,35.9,3.95,0.46,,,N,N,cosmo,cosmo,-4.65106,30,acetonitrile,3,Class IB,6,N,C2H3N,Not a primary manufacturing product - has been prone to shortages previously.,14.6,N,7.5,3,8.8,3,2884,N,12.1,558,N,2,410,-4.74864,30,1,2,WEVYAHXRMPXWCK-UHFFFAOYSA-N,InChI=1S/C2H3N/c1-2-3/h1H3,N,,-43.8,Y,41.052,Acetonitrile,Y,N,N,1,1,N,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,-4.74864,81.6,N,1,,,1.344,CC#N,N,785.84,0.19,0.31,0.75,1,N,N,N,N,N,T1,N,30,2,70.5,0,0.37,-0.34
N,N,N,N,N,N,,,,,,1.392,N,N,N,N,N,N,N,N,,N,188.5,502-56-7,,Solvent Count,1,3.79382,2.87354,3.79382,2.87354,Hints and Tips,3.79382,Hints and Tips,N,N,1,1,4,1,0.818,10.6,2.71,0.21,,,N,N,cosmo,cosmo,3.79382,182,5-nonanone,1,Class IIIA,60,N,C9H18O,,,N,,,,,2596,N,8.5,361,N,,,2.87354,182,,,WSGCRAOTEDLMFQ-UHFFFAOYSA-N,"InChI=1S/C9H18O/c1-3-5-7-9(10)8-6-4-2/h3-8H2,1-2H3",Y,,-4.8,N,142.239,5-Nonanone,N,N,N,1,8,N,3.79382,2.87354,0.484912,-0.569989,0.817048,2.87354,188.5,N,4,,,1.42,CCCCC(=O)CCCC,N,,,,,,N,N,N,N,N,Not Assigned,N,182,1,0.4,1,1.297,
